user_id,group,pre_spend,spend,converted
7669,control,47.22,59.6,0
2261,control,35.62,15.54,0
20571,treatment,40.87,36.37,0
5426,control,21.29,0.42,0
11130,control,18.02,26.38,0
27723,treatment,20.78,21.18,0
4617,control,1.86,0.0,0
19678,control,36.7,27.18,0
5695,control,28.63,34.57,0
16369,control,24.43,7.71,0
14148,control,15.3,18.48,0
22289,treatment,43.87,36.99,0
39481,treatment,65.9,86.26,0
2719,control,37.08,40.9,0
24684,treatment,15.84,0.0,0
16899,control,26.77,0.0,0
13879,control,11.4,15.42,0
4812,control,28.37,78.86,1
32155,treatment,21.11,28.73,0
18849,control,25.27,26.86,0
13014,control,19.79,0.97,0
26548,treatment,53.0,56.08,0
18538,control,4.27,0.0,0
2660,control,60.73,39.99,0
19507,control,29.59,16.64,0
10523,control,37.48,16.48,0
15458,control,13.12,18.42,0
34447,treatment,13.15,0.0,0
10402,control,27.94,27.22,0
15119,control,32.58,54.56,1
3014,control,28.45,32.96,0
9427,control,16.23,38.53,0
31319,treatment,28.62,21.58,0
21552,treatment,35.1,57.89,0
1849,control,4.27,25.28,1
36009,treatment,29.42,56.01,0
24951,treatment,31.36,29.27,1
1922,control,16.34,10.19,0
36394,treatment,31.68,32.66,0
30711,treatment,32.7,47.77,0
31783,treatment,17.17,23.08,1
26229,treatment,49.55,34.6,0
13505,control,41.71,27.59,0
29116,treatment,39.85,71.51,0
38196,treatment,48.51,45.11,0
8333,control,32.25,0.0,1
16162,control,8.73,21.41,0
33852,treatment,20.65,39.7,0
21059,treatment,33.68,32.0,0
6249,control,30.23,31.74,0
13424,control,4.54,0.0,0
16373,control,13.42,13.9,0
27316,treatment,37.58,18.81,0
11148,control,8.96,5.76,0
13633,control,9.99,3.97,0
3495,control,6.01,0.0,0
31833,treatment,19.08,3.9,0
29943,treatment,62.22,45.48,0
1966,control,7.94,23.59,0
32777,treatment,23.19,19.91,0
18170,control,35.4,10.94,0
9070,control,58.59,46.35,0
1625,control,50.31,31.45,0
17407,control,5.47,16.36,0
12426,control,25.23,21.03,0
25493,treatment,21.39,0.0,0
15322,control,31.54,32.11,0
10901,control,29.73,27.13,0
11869,control,8.46,38.95,1
16915,control,31.69,10.59,0
2286,control,27.53,22.31,0
30122,treatment,40.48,35.71,0
35869,treatment,3.01,13.03,0
17279,control,20.05,0.0,0
347,control,13.66,16.23,0
29082,treatment,20.24,5.38,0
21990,treatment,16.26,12.22,0
5675,control,24.75,22.84,0
10779,control,51.09,46.04,0
17295,control,16.91,2.95,0
16437,control,19.4,43.4,0
5479,control,40.73,66.08,0
3795,control,13.05,28.48,0
18526,control,23.35,39.02,0
26907,treatment,53.92,58.55,0
14810,control,30.65,28.08,0
19887,control,29.29,0.0,0
17924,control,35.82,37.67,0
10225,control,13.19,0.0,0
24241,treatment,42.34,40.82,0
18663,control,49.07,35.25,0
23131,treatment,7.01,7.79,1
1305,control,9.67,18.58,0
23312,treatment,55.98,53.16,0
25366,treatment,9.43,12.99,0
38669,treatment,12.94,0.0,0
23876,treatment,17.05,25.19,0
8458,control,25.27,38.65,0
184,control,82.63,78.91,0
27906,treatment,13.08,20.7,1
18890,control,9.45,3.14,0
12289,control,1.88,0.0,0
34137,treatment,20.83,17.58,0
3699,control,27.53,17.97,1
11349,control,40.2,23.5,0
22465,treatment,28.51,16.54,0
655,control,5.34,0.0,0
22748,treatment,23.38,20.5,0
22031,treatment,7.9,13.67,0
29015,treatment,6.97,29.62,0
13261,control,17.52,26.92,0
19882,control,12.23,18.38,0
26295,treatment,40.76,14.78,0
21952,treatment,27.14,10.87,0
17901,control,22.26,29.85,0
11530,control,29.26,0.0,0
33032,treatment,33.59,58.69,0
35488,treatment,19.24,0.35,1
22906,treatment,36.85,23.84,0
12976,control,62.5,40.17,0
2047,control,27.75,34.77,0
12950,control,3.7,1.06,0
11319,control,20.87,45.22,0
331,control,10.11,14.08,1
17757,control,22.4,0.0,0
18107,control,13.52,16.76,0
30880,treatment,8.83,9.92,0
34863,treatment,33.88,46.96,0
38510,treatment,15.88,19.86,0
12561,control,21.72,0.0,0
9481,control,20.06,20.34,0
12732,control,9.83,29.0,1
511,control,16.09,6.79,0
14041,control,16.05,18.94,0
30084,treatment,69.28,74.17,0
29956,treatment,23.54,26.56,0
13895,control,20.4,3.41,0
21870,treatment,18.87,38.2,0
37806,treatment,35.43,52.32,1
2309,control,17.39,34.74,1
32228,treatment,5.56,25.74,0
35633,treatment,13.34,6.75,0
39362,treatment,14.99,18.01,0
32435,treatment,4.26,10.98,0
19593,control,45.44,26.8,0
37322,treatment,12.18,43.89,0
29109,treatment,62.13,50.94,0
2541,control,10.25,31.3,0
28461,treatment,16.01,26.83,0
1636,control,15.17,5.18,0
4223,control,9.54,4.04,0
29405,treatment,16.49,23.77,0
32330,treatment,48.36,31.49,0
31352,treatment,42.73,55.02,0
39295,treatment,17.9,18.37,0
20658,treatment,47.82,38.6,0
17186,control,8.09,3.51,0
9994,control,23.09,19.38,0
11983,control,34.27,21.24,0
37574,treatment,20.11,0.0,0
24867,treatment,7.85,0.0,0
25042,treatment,28.11,10.71,0
38343,treatment,25.39,29.9,1
9088,control,3.34,24.14,0
39964,treatment,20.42,17.41,0
7847,control,4.88,2.15,1
28495,treatment,27.65,40.38,0
35542,treatment,50.82,79.46,0
38063,treatment,13.7,21.01,0
34805,treatment,42.28,49.23,0
16665,control,31.96,38.61,1
25150,treatment,33.7,1.35,0
21038,treatment,34.74,20.59,0
22409,treatment,35.97,14.4,0
17761,control,26.38,14.99,0
16084,control,7.6,22.4,0
13174,control,60.16,46.94,0
28685,treatment,4.5,18.15,0
38068,treatment,15.02,40.96,0
23626,treatment,6.42,17.27,1
16637,control,35.92,42.62,0
1863,control,9.15,2.91,0
3164,control,16.06,21.22,0
5652,control,65.95,38.72,0
31517,treatment,26.57,27.03,1
34200,treatment,27.16,37.47,0
20041,treatment,31.9,9.01,0
30579,treatment,46.92,40.61,0
18702,control,15.06,0.0,0
39385,treatment,19.02,0.0,0
6599,control,12.01,13.4,0
8076,control,79.16,46.32,0
38231,treatment,26.36,10.54,1
23791,treatment,15.92,12.88,0
5340,control,53.52,46.52,0
32547,treatment,30.87,21.58,0
32710,treatment,19.81,7.73,0
4574,control,26.75,30.36,0
32539,treatment,36.35,17.75,0
6223,control,9.45,20.87,0
36971,treatment,13.36,21.08,0
36354,treatment,11.26,43.07,0
22656,treatment,28.4,12.61,0
6671,control,28.78,30.94,0
33530,treatment,51.91,50.07,0
16368,control,9.99,10.23,0
18241,control,21.83,26.46,0
32372,treatment,50.61,28.08,0
37565,treatment,7.92,0.67,0
30119,treatment,22.68,22.57,0
28603,treatment,22.55,2.24,0
38561,treatment,14.23,35.58,0
13802,control,5.45,9.08,0
33169,treatment,16.89,28.82,0
2339,control,39.82,68.86,0
39549,treatment,28.46,21.27,0
11866,control,39.71,45.55,0
17222,control,16.7,11.92,0
19578,control,42.64,51.36,0
38419,treatment,40.36,47.88,0
22857,treatment,19.73,6.38,0
11142,control,36.31,44.88,0
20151,treatment,22.59,29.22,0
24797,treatment,19.77,31.67,0
6570,control,24.04,57.12,1
39070,treatment,13.94,9.85,0
12888,control,32.45,23.15,0
25394,treatment,16.17,48.39,0
30903,treatment,10.13,10.63,0
23511,treatment,5.44,0.0,0
28006,treatment,8.61,11.64,0
36691,treatment,10.93,0.0,0
25532,treatment,13.07,17.81,0
23077,treatment,22.16,8.66,0
20748,treatment,6.33,40.5,0
18457,control,33.61,26.47,0
30459,treatment,13.19,11.98,0
30655,treatment,15.48,39.54,0
38553,treatment,8.64,27.29,0
12873,control,46.39,34.79,0
28890,treatment,18.9,17.88,0
37782,treatment,29.57,37.06,0
20786,treatment,48.56,38.33,0
2498,control,9.95,0.0,0
21831,treatment,46.31,65.85,0
15973,control,36.78,59.97,1
8094,control,38.8,0.0,0
20612,treatment,15.34,25.7,1
6777,control,65.44,69.91,0
19116,control,6.66,52.69,0
39929,treatment,25.92,29.87,0
15733,control,18.27,2.52,0
30244,treatment,22.47,18.27,0
36908,treatment,25.63,17.52,0
10636,control,1.41,1.03,0
12816,control,14.29,11.81,1
